JobID|ProcID|System|SubmissionType|Group|Class|Nan|User|Nan2|Submission|Submit|Start|Stop|Elapsed|ExitCode|State|NNodes|NCpus|NProcs|ReqMem|Nan3|AllRequest|Timelimit|NodeList
27882976|27882976|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:06|2018-06-12T01:14:06|2018-06-12T01:14:07|2018-06-12T01:44:28|00:30:21|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1082
27882978|27882978|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:06|2018-06-12T01:14:06|2018-06-12T01:14:07|2018-06-12T01:44:28|00:30:21|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp222
27882990|27882990|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:07|2018-06-12T01:14:07|2018-06-12T01:14:07|2018-06-12T01:44:28|00:30:21|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp224
27882995|27882995|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:18|2018-06-12T01:14:18|2018-06-12T01:14:21|2018-06-12T01:44:28|00:30:07|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1379
27883001|27883001|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:19|2018-06-12T01:14:19|2018-06-12T01:14:21|2018-06-12T01:44:28|00:30:07|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1405
27883005|27883005|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:19|2018-06-12T01:14:19|2018-06-12T01:14:21|2018-06-12T01:44:28|00:30:07|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1314
27883007|27883007|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:19|2018-06-12T01:14:19|2018-06-12T01:14:21|2018-06-12T01:44:28|00:30:07|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1395
27883009|27883009|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:19|2018-06-12T01:14:19|2018-06-12T01:14:21|2018-06-12T01:44:28|00:30:07|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1416
27883017|27883017|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:19|2018-06-12T01:14:19|2018-06-12T01:14:21|2018-06-12T01:44:28|00:30:07|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1424
27883019|27883019|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:19|2018-06-12T01:14:19|2018-06-12T01:14:21|2018-06-12T01:44:28|00:30:07|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1301
27883028|27883028|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:20|2018-06-12T01:14:20|2018-06-12T01:14:22|2018-06-12T01:44:28|00:30:06|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1347
27885396|27885396|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T03:07:54|2018-06-12T03:07:54|2018-06-12T03:07:54|2018-06-12T03:40:55|00:33:01|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1389
27885468|27885468|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T03:10:50|2018-06-12T03:10:50|2018-06-12T03:10:51|2018-06-12T03:41:18|00:30:27|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp323
